"taxon_name","taxon_authors","accepted_plant_name_id","number_records","number_tdwg3"
"Aconitum kungshanense","W.T.Wang",2618934,0,0
"Aconitum laevicaule","W.T.Wang",2618949,0,0
"Aconitum legendrei","Hand.-Mazz.",2618967,0,0
"Aconitum leiwuqiense","W.T.Wang",2618971,0,0
"Aconitum leucostomum","Vorosch.",2618980,2,2
"Aconitum liljestrandii","Hand.-Mazz.",2618987,0,0
"Aconitum franchetii var. franchetii",,3261586,0,0
"Aconitum longilobum","W.T.Wang",2618998,0,0
"Aconitum longipedicellatum","Lauener",2618999,0,0
"Aconitum heterophylloides","(Brühl) Stapf",2618817,0,0
"Aconitum ludlowii","Exell",2619008,0,0
"Aconitum lycoctonifolium","W.T.Wang & L.Q.Li",2619018,0,0
"Aconitum macrorhynchum","Turcz. ex Ledeb.",2619046,0,0
"Aconitum milinense","W.T.Wang",2619072,0,0
"Aconitum monanthum","Nakai",2619085,0,0
"Aconitum monticola","Steinb.",2619090,0,0
"Aconitum nagarum","Stapf",2619096,2,1
"Aconitum namlaense","W.T.Wang",2619105,0,0
"Aconitum nemorum","Popov",2619225,0,0
"Aconitum nielamuense","W.T.Wang",2619238,0,0
"Aconitum novoluridum","Munz",2619249,0,0
"Aconitum nutantiflorum","P.K.Chang ex W.T.Wang",2619250,0,0
"Aconitum ouvrardianum","Hand.-Mazz.",2619278,0,0
"Aconitum jaluense subsp. jaluense",,3261589,11,7
"Aconitum parcifolium","Q.E.Yang & Z.D.Fang",2619324,0,0
"Aconitum pendulicarpum","P.K.Chang ex W.T.Wang",2619338,0,0
"Aconitum pendulum","N.Busch",2619340,0,0
"Aconitum phyllostegium","Hand.-Mazz.",2619346,0,0
"Aconitum piepunense","Hand.-Mazz.",2619348,1,1
"Aconitum pilopetalum","W.T.Wang & L.Q.Li",2619351,0,0
"Aconitum tongolense var. tongolense",,3261621,0,0
"Aconitum polycarpum","P.K.Chang ex W.T.Wang",2619362,0,0
"Aconitum polyschistum","Hand.-Mazz.",2619363,0,0
"Aconitum pomeense","W.T.Wang",2619364,0,0
"Aconitum potaninii","Kom.",2619369,0,0
"Aconitum prominens","Lauener",2619372,0,0
"Aconitum pseudobrunneum","W.T.Wang",2619374,0,0
"Aconitum pseudodivaricatum","W.T.Wang",2619375,0,0
"Aconitum pseudokongboense","W.T.Wang & L.Q.Li",2619380,0,0
"Aconitum pseudostapfianum","W.T.Wang",2619385,0,0
"Aconitum pulchellum","Hand.-Mazz.",2619396,0,0
"Aconitum legendrei var. albovillosum","(F.H.Chen & Y.Liu) Y.Luo & Q.E.Yang",2618968,0,0
"Aconitum racemulosum","Franch.",2619414,0,0
"Aconitum raddeanum","Regel",2619418,0,0
"Aconitum ramulosum","W.T.Wang",2619420,0,0
"Aconitum ranunculoides","Turcz.",2619423,0,0
"Aconitum refracticarpum","P.K.Chang ex W.T.Wang",2619433,0,0
"Aconitum rhombifolium","F.H.Chen",2619435,0,0
"Aconitum richardsonianum","Lauener",2619438,0,0
"Aconitum rilongense","Kadota",2619442,0,0
"Aconitum rockii","H.R.Fletcher & Lauener",2619446,0,0
"Aconitum rotundifolium","Kar. & Kir.",2619453,2,2
"Aconitum sczukinii","Turcz.",2619486,3,2
"Aconitum secundiflorum","W.T.Wang",2619490,0,0
"Aconitum septentrionale","Koelle",2619505,49,16
"Aconitum shennongjiaense","Q.Gao & Q.E.Yang",2895437,0,0
"Aconitum sinchiangense","W.T.Wang",2619520,0,0
"Aconitum sinoaxillare","W.T.Wang",2619522,0,0
"Aconitum sinomontanum","Nakai",2619523,5,4
"Aconitum glandulosum","Rapaics",2618767,2,
"Aconitum smithii","Ulbr. ex Hand.-Mazz.",2619533,1,1
"Aconitum soongaricum","(Regel) Stapf",2619534,4,4
"Aconitum souliei","Finet & Gagnep.",2619540,0,0
"Aconitum spathulatum","W.T.Wang",2619543,0,0
"Aconitum lethale","Griff.",2618976,0,0
"Aconitum spiripetalum","Hand.-Mazz.",2619547,0,0
"Aconitum stapfianum","Hand.-Mazz.",2619553,0,0
"Aconitum stramineiflorum","P.K.Chang ex W.T.Wang",2619559,0,0
"Aconitum stylosoides","W.T.Wang",2619565,0,0
"Aconitum stylosum","Stapf",2619566,0,0
"Aconitum taipeicum","Hand.-Mazz.",2619590,1,1
"Aconitum talassicum","Popov",2619592,0,0
"Aconitum tangense","Marquand & Airy Shaw",2619595,0,0
"Aconitum tanguticum","(Maxim.) Stapf",2619596,5,3
"Aconitum taronense","(Hand.-Mazz.) H.R.Fletcher & Lauener",2619602,0,0
"Aconitum tatsienense","Finet & Gagnep.",2619608,0,0
"Aconitum tenuicaule","W.T.Wang",2619618,0,0
"Aconitum tongolense","Ulbr.",2619636,0,0
"Aconitum transsectum","Diels",2619649,0,0
"Aconitum tsaii","W.T.Wang",2619660,0,0
"Aconitum ochotense","Rchb.",2619257,3,2
"Aconitum umbrosum","(Korsh.) Kom.",2619674,0,0
"Aconitum vilmorinianum","Kom.",2619734,2,2
"Aconitum volubile","Pall. ex Koelle",2619747,40,16
"Aconitum wuchagouense","Y.Z.Zhao",2619794,0,0
"Aconitum yangii","W.T.Wang & L.Q.Li",2619802,0,0
"Aconitum yinschanicum","Y.Z.Zhao",2619807,0,0
"Aconitum yunlingense","Q.E.Yang & Z.D.Fang",2619808,0,0
"Aconitum legendrei var. legendrei",,3261597,0,0
"Acorus calamus","L.",2304,171,49
"Acorus gramineus","Aiton",2322,162,52
"Acrachne racemosa","(B.Heyne ex Roth) Ohwi",387366,3,2
"Acranthera sinensis","C.Y.Wu",2408,0,0
"Acriopsis indica","Wight",2431,4,3
"Acrocarpus fraxinifolius","Wight & Arn.",2620062,29,18
"Acroceras munroanum","(Balansa) Henrard",387395,0,0
"Acroceras tonkinense","(Balansa) C.E.Hubb. ex Bor",387405,0,0
"Acroglochin persicarioides","(Poir.) Moq.",2620146,7,4
"Acronema alpinum","S.L.Liou & R.H.Shan",2620196,0,0
"Acronema astrantiifolium","H.Wolff",2620197,0,0
"Acronema brevipedicellatum","Z.H.Pan & M.F.Watson",2620199,0,0
"Acronema chienii","R.H.Shan",2620201,0,0
"Acronema chinense","H.Wolff",2620203,0,0
"Acronema commutatum","H.Wolff",2620205,0,0
"Acronema forrestii","H.Wolff",2620210,0,0
"Acronema gracile","S.L.Liou & R.H.Shan",2620211,0,0
"Acronema graminifolium","(W.W.Sm.) S.L.Liou & R.H.Shan",2620212,0,0
"Acronema handelii","H.Wolff",2620213,0,0
"Acronema hookeri","(C.B.Clarke) H.Wolff",2620214,0,0
"Acronema minus","(M.F.Watson) M.F.Watson & Z.H.Pan",2620218,0,0
"Acronema muscicola","(Hand.-Mazz.) Hand.-Mazz.",2620220,0,0
"Acronema nervosum","H.Wolff",2620221,0,0
"Acronema paniculatum","(Franch.) H.Wolff",2620222,0,0
"Acronema schneideri","H.Wolff",2620230,0,0
"Acronema sichuanense","S.L.Liou & R.H.Shan",2620231,0,0
"Acronema tenerum","(DC.) Edgew.",2620233,0,0
"Acronema xizangense","S.L.Liou & R.H.Shan",2620235,0,0
"Acronema yadongense","S.L.Liou",2620236,0,0
"Acronychia pedunculata","(L.) Miq.",2620314,9,5
"Actaea asiatica","H.Hara",2620511,17,7
"Actaea erythrocarpa","(Fisch.) Kom.",2620535,23,10
"Actephila excelsa","(Dalzell) Müll.Arg.",2689,3,2
"Actephila merrilliana","Chun",2712,0,0
"Actephila subsessilis","Gagnep.",2727,0,0
"Actinidia arguta","(Siebold & Zucc.) Planch. ex Miq.",2620609,192,43
"Actinidia callosa","Lindl.",2620621,16,8
"Actinidia chengkouensis","C.Y.Chang",2620643,0,0
"Actinidia chinensis","Planch.",2620644,129,28
"Actinidia chrysantha","C.F.Liang",2620652,1,
"Actinidia cylindrica","C.F.Liang",2620659,0,0
"Actinidia eriantha","Benth.",2620670,4,2
"Actinidia farinosa","C.F.Liang",2620676,0,0
"Actinidia fasciculoides","C.F.Liang",2620677,0,0
"Actinidia fortunatii","Finet & Gagnep.",2620681,1,
"Actinidia fulvicoma","Hance",2620682,1,
"Actinidia glaucocallosa","C.Y.Wu",2620691,0,0
"Actinidia grandiflora","C.F.Liang",2620699,0,0
"Actinidia hemsleyana","Dunn",2620701,2,1
"Actinidia henryi","Dunn",2620704,0,0
"Actinidia holotricha","Finet & Gagnep.",2620707,3,3
"Actinidia hubeiensis","H.M.Sun & R.H.Huang",2620708,0,0
"Actinidia indochinensis","Merr.",2620711,0,0
"Actinidia kolomikta","(Maxim.) Maxim.",2620720,173,40
"Actinidia laevissima","C.F.Liang",2620725,0,0
"Actinidia lanceolata","Dunn",2620728,2,
"Actinidia latifolia","(Gardner & Champ.) Merr.",2620729,3,1
"Actinidia liangguangensis","C.F.Liang",2620735,0,0
"Actinidia lijiangensis","C.F.Liang & Y.X.Lu",2620737,0,0
"Actinidia linguiensis","R.G.Li & X.G.Wang",2606104,0,0
"Actinidia longicarpa","R.G.Li & M.Y.Liang",2606105,0,0
"Actinidia macrosperma","C.F.Liang",2620742,1,
"Actinidia melanandra","Franch.",2620747,45,20
"Actinidia melliana","Hand.-Mazz.",2620753,0,0
"Actinidia obovata","Chun ex C.F.Liang",2620755,0,0
"Actinidia persicina","R.G.Li & L.Mo",2606106,0,0
"Actinidia pilosula","(Finet & Gagnep.) Stapf ex Hand.Mazz.",2620760,4,4
"Actinidia polygama","(Siebold & Zucc.) Planch. ex Maxim.",2620762,49,20
"Actinidia rongshuiensis","R.G.Li & X.G.Wang",2606107,0,0
"Actinidia rubricaulis","Dunn",2620772,4,2
"Actinidia rubus","H.Lév.",2620774,0,0
"Actinidia rudis","Dunn",2620775,0,0
"Actinidia rufa","(Siebold & Zucc.) Planch. ex Miq.",2620777,8,5
"Actinidia rufotricha","C.Y.Wu",2620784,0,0
"Actinidia sabiifolia","Dunn",2620786,0,0
"Actinidia sorbifolia","C.F.Liang",2620788,0,0
