accepted_plant_name_id,taxon_name,taxon_authors,cultivation.lin2019,life.form.integrated,WorldCuP.n.tdwg3,nat.extent,nat.incidence,native.global.tdwg3,planting.China.tdwg3
2704390,Cassiope fujianensis,L.K.Ling & G.Hoo,no,woody,0,0,0,1,0
2704403,Cassiope myosuroides,W.W.Sm.,no,woody,0,0,0,2,0
2704404,Cassiope nana,T.Z.Hsu,no,woody,0,0,0,1,0
2704406,Cassiope palpebrata,W.W.Sm.,no,woody,0,0,0,2,0
2704407,Cassiope pectinata,Stapf,yes,woody,0,0,0,3,1
2704411,Cassiope selaginoides,Hook.f. & Thomson,yes,woody,5,0,0,5,2
2704416,Cassiope wardii,Marquand,no,woody,5,0,0,2,0
2704602,Cassytha filiformis,L.,no,perennial herb,8,3,1,136,0
34986,Castanea henryi,(Skan) Rehder & E.H.Wilson,yes,woody,6,0,0,2,2
35016,Castanea mollissima,Blume,yes,woody,29,22,1,4,5
35054,Castanea seguinii,Dode,yes,woody,6,0,0,2,3
35083,Castanopsis amabilis,W.C.Cheng & C.S.Chao,no,woody,0,0,0,1,0
35088,Castanopsis argyrophylla,King ex Hook.f.,yes,woody,1,0,0,5,2
35097,Castanopsis boisii,Hickel & A.Camus,yes,woody,0,0,0,4,2
35108,Castanopsis calathiformis,(Skan) Rehder & E.H.Wilson,yes,woody,1,0,0,6,1
35110,Castanopsis carlesii,(Hemsl.) Hayata,yes,woody,2,0,0,4,3
35118,Castanopsis ceratacantha,Rehder & E.H.Wilson,yes,woody,0,0,0,4,1
35121,Castanopsis cerebrina,(Hickel & A.Camus) Barnett,no,woody,1,0,0,3,0
35126,Castanopsis chinensis,(Spreng.) Hance,yes,woody,1,0,0,4,3
35128,Castanopsis choboensis,Hickel & A.Camus,no,woody,0,0,0,3,0
35133,Castanopsis chunii,W.C.Cheng,no,woody,0,0,0,2,0
35134,Castanopsis clarkei,King ex Hook.f.,yes,woody,0,0,0,7,1
35138,Castanopsis concinna,(Champ. ex Benth.) A.DC.,no,woody,0,0,0,1,0
35143,Castanopsis crassifolia,Hickel & A.Camus,no,woody,0,0,0,3,0
35163,Castanopsis delavayi,Franch.,yes,woody,1,0,0,2,2
35165,Castanopsis densispinosa,Y.C.Hsu & H.Wei Jen,no,woody,0,0,0,1,0
35172,Castanopsis echinocarpa,Miq.,yes,woody,1,0,0,9,1
35178,Castanopsis eyrei,(Champ. ex Benth.) Hutch.,yes,woody,0,0,0,3,2
35180,Castanopsis faberi,Hance,yes,woody,0,0,0,4,3
35182,Castanopsis fargesii,Franch.,yes,woody,0,0,0,3,2
35183,Castanopsis ferox,(Roxb.) Spach,yes,woody,1,0,0,9,1
35185,Castanopsis fissa,(Champ. ex Benth.) Rehder & E.H.Wilson,yes,woody,0,0,0,5,2
35187,Castanopsis fleuryi,Hickel & A.Camus,yes,woody,0,0,0,2,2
35189,Castanopsis fordii,Hance,yes,woody,0,0,0,3,2
466038,Castanopsis glabrifolia,J.Q.Li & Li Chen,no,woody,0,0,0,1,0
35200,Castanopsis hainanensis,Merr.,yes,woody,0,0,0,1,2
