response,effect,component,group,term,estimate,std.error,conf.low,conf.high,dir,hyp,Hypothesis,Estimate,Est.Error,CI.Lower,CI.Upper,Evid.Ratio,Post.Prob,Star,model
culforeigntdwg3scaled,ran_pars,cond,Residual,sd__Observation,0.7594265518055984,0.0046146987562873665,0.7504781120725698,0.7685228311845853, > 0,culforeigntdwg3scaled_sd__Observation > 0,(culforeigntdwg3scaled_sd__Observation) > 0,NA,NA,NA,NA,NA,NA,NA,model_nat.perennial_herb
natextentscaled,ran_pars,cond,Residual,sd__Observation,0.841051525104191,0.005010821593918667,0.8313982826892371,0.8508740730872498, > 0,natextentscaled_sd__Observation > 0,(natextentscaled_sd__Observation) > 0,NA,NA,NA,NA,NA,NA,NA,model_nat.perennial_herb
culChinatdwg3scaled,fixed,cond,NA,(Intercept),6.270730171028788e-5,0.009206373167654096,-0.01817925158393887,0.018405645318502587, > 0,culChinatdwg3scaled_(Intercept) > 0,(culChinatdwg3scaled_(Intercept)) > 0,NA,NA,NA,NA,NA,NA,NA,model_nat.woody
culforeigntdwg3scaled,fixed,cond,NA,(Intercept),-4.489413153653896e-5,0.008357952477002457,-0.016861932203452553,0.016327169023134754, < 0,culforeigntdwg3scaled_(Intercept) < 0,(culforeigntdwg3scaled_(Intercept)) < 0,NA,NA,NA,NA,NA,NA,NA,model_nat.woody
natextentscaled,fixed,cond,NA,(Intercept),3.4752114191174124e-5,0.008525593447255857,-0.017064653516198017,0.01655041912670706, > 0,natextentscaled_(Intercept) > 0,(natextentscaled_(Intercept)) > 0,NA,NA,NA,NA,NA,NA,NA,model_nat.woody
culChinatdwg3scaled,fixed,cond,NA,native.global.tdwg3.scaled,0.4498963771713654,0.009343891675391368,0.4318792542255424,0.46779939539752047, > 0,culChinatdwg3scaled_native.global.tdwg3.scaled > 0,(culChinatdwg3scaled_native.global.tdwg3.scaled) > 0,0.4498963771713654,0.009343891675391368,0.4346650303631485,0.4651581759965997,Inf,1,*,model_nat.woody
culforeigntdwg3scaled,fixed,cond,NA,cul.China.tdwg3.scaled,0.4096538937137264,0.009338267745386724,0.3919862748419689,0.427355394250769, > 0,culforeigntdwg3scaled_cul.China.tdwg3.scaled > 0,(culforeigntdwg3scaled_cul.China.tdwg3.scaled) > 0,0.4096538937137264,0.009338267745386724,0.39440722481339574,0.424767806573423,Inf,1,*,model_nat.woody
culforeigntdwg3scaled,fixed,cond,NA,native.global.tdwg3.scaled,0.2823407770497202,0.00941022855080626,0.2640515011503989,0.3008445427275605, > 0,culforeigntdwg3scaled_native.global.tdwg3.scaled > 0,(culforeigntdwg3scaled_native.global.tdwg3.scaled) > 0,0.2823407770497202,0.00941022855080626,0.26689541096796904,0.2978831877283747,Inf,1,*,model_nat.woody
natextentscaled,fixed,cond,NA,cul.foreign.tdwg3.scaled,0.4904235244860748,0.01082156748892012,0.4689496467046717,0.511469819790967, > 0,natextentscaled_cul.foreign.tdwg3.scaled > 0,(natextentscaled_cul.foreign.tdwg3.scaled) > 0,0.4904235244860748,0.01082156748892012,0.47259527057561446,0.5083753886580845,Inf,1,*,model_nat.woody
natextentscaled,fixed,cond,NA,cul.China.tdwg3.scaled,0.0730364411357499,0.010932075867713048,0.051415313247995795,0.09408247079048965, > 0,natextentscaled_cul.China.tdwg3.scaled > 0,(natextentscaled_cul.China.tdwg3.scaled) > 0,0.0730364411357499,0.010932075867713048,0.054727290739801746,0.09094602785543018,Inf,1,*,model_nat.woody
natextentscaled,fixed,cond,NA,native.global.tdwg3.scaled,0.03460368058852873,0.010163322937493573,0.015393298786264236,0.05450897049663097, > 0,natextentscaled_native.global.tdwg3.scaled > 0,(natextentscaled_native.global.tdwg3.scaled) > 0,0.03460368058852873,0.010163322937493573,0.018081185444304138,0.05178585965585091,3999,0.99975,*,model_nat.woody
culChinatdwg3scaled,ran_pars,cond,Residual,sd__Observation,0.8932107976252522,0.006506971604582455,0.8808787048814595,0.9064202949673823, > 0,culChinatdwg3scaled_sd__Observation > 0,(culChinatdwg3scaled_sd__Observation) > 0,NA,NA,NA,NA,NA,NA,NA,model_nat.woody
culforeigntdwg3scaled,ran_pars,cond,Residual,sd__Observation,0.8053395674362718,0.005760465152204627,0.794185346393085,0.816861507980698, > 0,culforeigntdwg3scaled_sd__Observation > 0,(culforeigntdwg3scaled_sd__Observation) > 0,NA,NA,NA,NA,NA,NA,NA,model_nat.woody
natextentscaled,ran_pars,cond,Residual,sd__Observation,0.834761363941977,0.005937675215869296,0.8232913693773829,0.8459750995133355, > 0,natextentscaled_sd__Observation > 0,(natextentscaled_sd__Observation) > 0,NA,NA,NA,NA,NA,NA,NA,model_nat.woody
